|  |  | KU 0600-0800; KU 0809; KU 0819-0963; KU 0968-0969; KU 0987-0989; KU 0996-0999 |
| U |  | F 1528 Nachträglich abziehbare Vorsteuer nach § 15a Abs. 2 UStG |
| U |  | F 1529 Zurückzuzahlende Vorsteuer nach § 15a Abs. 2 UStG |
|  |  | 1530 Forderungen gegen Personal aus Lohn- und Gehaltsabrechnung; 1531 - Restlaufzeit bis 1 Jahr; 1537 - Restlaufzeit größer 1 Jahr; 1539 Umsatzsteuerforderungen frühere Jahre |
|  |  | 1540 Forderungen aus Gewerbesteuerüberzahlungen |
|  |  | 1542 Steuererstattungsansprüche gegenüber anderen Ländern |
|  |  | F 1543 Forderungen an das Finanzamt aus abgeführtem Bauabzugsbetrag |
|  |  | 1544 Forderung gegenüber Bundesagentur für Arbeit; 1545 Forderungen aus Umsatzsteuer-Vorauszahlungen; 1546 Umsatzsteuerforderungen Vorjahr; 1547 Forderungen aus entrichteten Verbrauchsteuern |
|  |  | S 1548 Vorsteuer in Folgeperiode/im Folgejahr abziehbar |
|  |  | 1549 Körperschaftsteuerrückforderung |
|  |  | 1550 Darlehen; 1551 - Restlaufzeit bis 1 Jahr; 1555 - Restlaufzeit größer 1 Jahr |
| Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten | U | F 1556 Nachträglich abziehbare Vorsteuer nach § 15a Abs. 1 UStG, bewegliche Wirtschaftsgüter |
|  | U | F 1557 Zurückzuzahlende Vorsteuer nach § 15a Abs. 1 UStG, bewegliche Wirtschaftsgüter |
|  | U | F 1558 Nachträglich abziehbare Vorsteuer nach § 15a Abs. 1 UStG, unbewegliche Wirtschaftsgüter |
|  | U | F 1559 Zurückzuzahlende Vorsteuer nach § 15a Abs. 1 UStG, unbewegliche Wirtschaftsgüter |
|  |  | S 1560 Aufzuteilende Vorsteuer |
|  |  | S 1561 Aufzuteilende Vorsteuer 7 % |
|  |  | S 1562 Aufzuteilende Vorsteuer aus innergemeinschaftlichem Erwerb |
|  |  | S 1563 Aufzuteilende Vorsteuer aus innergemeinschaftlichem Erwerb 19 % |
|  |  | R 1564; -65 |
|  |  | S 1566 Aufzuteilende Vorsteuer 19 % |
|  |  | S 1567 Aufzuteilende Vorsteuer nach §§ 13a und 13b UStG |
|  |  | R 1568 |
|  |  | S 1569 Aufzuteilende Vorsteuer nach §§ 13a und 13b UStG 19 % |
|  | U | S 1570 Abziehbare Vorsteuer |
|  | U | S 1571 Abziehbare Vorsteuer 7 % |
|  | U | S 1572 Abziehbare Vorsteuer aus innergemeinschaftlichem Erwerb |
|  | U | S 1573 Vorsteuer aus Erwerb als letzter Abnehmer innerhalb eines Dreiecksgeschäfts |
|  | U | S 1574 Abziehbare Vorsteuer aus innergemeinschaftlichem Erwerb 19 % |
|  |  | R 1575 |
|  | U | S 1576 Abziehbare Vorsteuer 19 % |
|  | U | S 1577 Abziehbare Vorsteuer nach § 13b UStG 19 % |
|  | U | S 1578 Abziehbare Vorsteuer nach § 13b UStG |
|  |  | R 1579 |
|  | EUR | 1580 Gegenkonto Vorsteuer § 4 Abs. 3 EStG |
|  | EUR | 1581 Auflösung Vorsteuer aus Vorjahr § 4 Abs. 3 EStG |
|  | EUR | 1582 Vorsteuer aus Investitionen § 4 Abs. 3 EStG |
|  |  | R 1583 |
|  | U | S 1584 Abziehbare Vorsteuer aus innergemeinschaftlichem Erwerb von Neufahrzeugen von Lieferanten ohne USt-Id-Nr. |
|  | U | S 1585 Abziehbare Vorsteuer aus der Auslagerung von Gegenständen aus einem Umsatzsteuerlager |
|  |  | R 1587 |
|  | U | F 1588 Entstandene Einfuhrumsatzsteuer |
|  |  | R 1589; 1590 Durchlaufende Posten; 1592 Fremdgeld |
| Sonstige Verbindlichkeiten S-Saldo |  | F 1593 Verrechnungskonto erhaltene Anzahlungen bei Buchung über Debitorenkonto |
| Forderungen gegen verbundene Unternehmen oder Verbindlichkeiten gegenüber verbundenen Unternehmen |   | 1594 Forderungen gegen verbundene Unternehmen; 1595 - Restlaufzeit bis 1 Jahr; 1596 - Restlaufzeit größer 1 Jahr |
| Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht oder Verbindlichkeiten gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis besteht |   | 1597 Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht; 1598 - Restlaufzeit bis 1 Jahr; 1599 - Restlaufzeit größer 1 Jahr |
|   |   | Verbindlichkeiten |
| Verbindlichkeiten aus Lieferungen und Leistungen oder sonstige Vermögensgegenstände | EUR | S 1600 Verbindlichkeiten aus Lieferungen und Leistungen; R 1601-03 Verbindlichkeiten aus Lieferungen und Leistungen; F 1605 Verbindlichkeiten aus Lieferungen und Leistungen zum allgemeinen Umsatzsteuersatz (EÜR); F 1606 Verbindlichkeiten aus Lieferungen und Leistungen zum ermäßigten Umsatzsteuersatz (EÜR); F 1607 Verbindlichkeiten aus Lieferungen und Leistungen ohne Vorsteuerabzug (EÜR); F 1609 Gegenkonto 1605-1607 bei Aufteilung der Verbindlichkeiten nach Steuersätzen (EÜR); F 1610-23 Verbindlichkeiten aus Lieferungen und Leistungen ohne Kontokorrent; F 1624 Verbindlichkeiten aus Lieferungen und Leistungen für Investitionen für § 4 Abs. 3 EStG; F 1625 Verbindlichkeiten aus Lieferungen und Leistungen ohne Kontokorrent - Restlaufzeit bis 1 Jahr; F 1626 - Restlaufzeit 1 bis 5 Jahre; F 1628 - Restlaufzeit größer 5 Jahre |
| Verbindlichkeiten gegenüber verbundenen Unternehmen oder Forderungen gegen verbundene Unternehmen |   | F 1630 Verbindlichkeiten aus Lieferungen und Leistungen gegenüber verbundenen Unternehmen; F 1631 - Restlaufzeit bis 1 Jahr; F 1635 - Restlaufzeit 1 bis 5 Jahre; F 1638 - Restlaufzeit größer 5 Jahre |
| Verbindlichkeiten gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis besteht oder Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht |   | F 1640 Verbindlichkeiten aus Lieferungen und Leistungen gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis besteht; F 1641 - Restlaufzeit bis 1 Jahr; F 1645 - Restlaufzeit 1 bis 5 Jahre; F 1648 - Restlaufzeit größer 5 Jahre |
| Verbindlichkeiten aus Lieferungen und Leistungen oder sonstige Vermögensgegenstände |  | F 1650 Verbindlichkeiten aus Lieferungen und Leistungen gegenüber Gesellschaftern; F 1651 - Restlaufzeit bis 1 Jahr; F 1655 - Restlaufzeit 1 bis 5 Jahre; F 1658 - Restlaufzeit größer 5 Jahre |
| Verbindlichkeiten aus Lieferungen und Leistungen S-Saldo oder sonstige Vermögensgegenstände H-Saldo |  | 1659 Gegenkonto 1625-1658 bei Aufteilung Kreditorenkonto |
| Verbindlichkeiten aus der Annahme gezogener Wechsel und aus der Ausstellung eigener Wechsel |  | R 1660; -64 |
| Sonstige Verbindlichkeiten |  | 1665 Verbindlichkeiten gegenüber GmbH-Gesellschaftern; 1666 - Restlaufzeit bis 1 Jahr; 1667 - Restlaufzeit 1 bis 5 Jahre; 1668 - Restlaufzeit größer 5 Jahre; 1670 Verbindlichkeiten gegenüber persönlich haftenden Gesellschaftern; 1671 - Restlaufzeit bis 1 Jahr; 1672 - Restlaufzeit 1 bis 5 Jahre; 1673 - Restlaufzeit größer 5 Jahre; 1675 Verbindlichkeiten gegenüber Kommanditisten; 1676 - Restlaufzeit bis 1 Jahr; 1677 - Restlaufzeit 1 bis 5 Jahre; 1678 - Restlaufzeit größer 5 Jahre; 1691 Verbindlichkeiten gegenüber Arbeitsgemeinschaften |
|  | EUR | 1692 Neutralisierung aufwandswirksamer Sachverhalte für § 4 Abs. 3 EStG |
|  | EUR | 1693 Ergebnisneutrale Sachverhalte für § 4 Abs. 3 EStG |
| Sonstige Verbindlichkeiten |  | 1695 Verbindlichkeiten gegenüber stillen Gesellschaftern; 1696 - Restlaufzeit bis 1 Jahr; 1697 - Restlaufzeit 1 bis 5 Jahre; 1698 - Restlaufzeit größer 5 Jahre; 1700 Sonstige Verbindlichkeiten; 1701 - Restlaufzeit bis 1 Jahr; 1702 - Restlaufzeit 1 bis 5 Jahre; 1703 - Restlaufzeit größer 5 Jahre; 1704 Sonstige Verbindlichkeiten nach § 11 Abs. 2 Satz 2 EStG für § 4 Abs. 3 EStG; 1705 Darlehen; 1706 - Restlaufzeit bis 1 Jahr; 1707 - Restlaufzeit 1 bis 5 Jahre; 1708 - Restlaufzeit größer 5 Jahre; 1709 Gewinnverfügungskonto stille Gesellschafter - sonstige Verbindlichkeiten |
| Erhaltene Anzahlungen auf Bestellungen (Passiva) | U | 1710 Erhaltene Anzahlungen auf Bestellungen (Verbindlichkeiten);AM 1711 Erhaltene, versteuerte Anzahlungen 7 % USt (Verbindlichkeiten);AM 1712 Erhaltene, versteuerte Anzahlungen 5 % USt (Verbindlichkeiten);R 1713;AM 1714 Erhaltene, versteuerte Anzahlungen 0 % USt (Verbindlichkeiten);1715 Erhaltene Anzahlungen - Nachsteuer;R 1716;AM 1717 Erhaltene, versteuerte Anzahlungen 16 % USt (Verbindlichkeiten);AM 1718 Erhaltene, versteuerte Anzahlungen 19 % USt (Verbindlichkeiten);1719 Erhaltene Anzahlungen - Restlaufzeit bis 1 Jahr;1720 - Restlaufzeit 1 bis 5 Jahre;1721 - Restlaufzeit größer 5 Jahre |
| Erhaltene Anzahlungen auf Bestellungen (Aktiva) |  | 1722 Erhaltene Anzahlungen auf Bestellungen (von Vorräten offen abgesetzt) |
| Sonstige Verbindlichkeiten oder sonstige Vermögensgegenstände | S | 1725 Umsatzsteuer in Folgeperiode fällig (§§ 13 Abs. 1 Nr. 6 und 13b Abs. 2 UStG) |
| Sonstige Verbindlichkeiten | S | 1728 Umsatzsteuer aus im anderen EU-Land steuerpflichtigen elektronischen Dienstleistungen;1729 Steuerzahlungen aus im anderen EU-Land steuerpflichtigen Leistungen;1730 Kreditkartenabrechnung;1731 Agenturwarenabrechnung;1732 Erhaltene Kautionen;1733 - Restlaufzeit bis 1 Jahr;1734 - Restlaufzeit 1 bis 5 Jahre;1735 - Restlaufzeit größer 5 Jahre;1736 Verbindlichkeiten aus Steuern und Abgaben;1737 - Restlaufzeit bis 1 Jahr;1738 - Restlaufzeit 1 bis 5 Jahre;1739 - Restlaufzeit größer 5 Jahre;1740 Verbindlichkeiten aus Lohn und Gehalt |
| Sonstige Verbindlichkeiten oder sonstige Vermögensgegenstände |  | 1741 Verbindlichkeiten aus Lohn- und Kirchensteuer;1742 Verbindlichkeiten im Rahmen der sozialen Sicherheit;1743 - Restlaufzeit bis 1 Jahr;1744 - Restlaufzeit 1 bis 5 Jahre;1745 - Restlaufzeit größer 5 Jahre |
| Sonstige Verbindlichkeiten |  | 1746 Verbindlichkeiten aus Einbehaltungen (KapESt und SolZ, KiSt auf KapESt) für offene Ausschüttungen;1747 Verbindlichkeiten für Verbrauchsteuern;1748 Verbindlichkeiten für Einbehaltungen von Arbeitnehmern;1749 Verbindlichkeiten an das Finanzamt aus abzuführendem Bauabzugsbetrag |
| Sonstige Verbindlichkeiten |  | 1750 Verbindlichkeiten aus Vermögensbildung; 1751 - Restlaufzeit bis 1 Jahr; 1752 - Restlaufzeit 1 bis 5 Jahre; 1753 - Restlaufzeit größer 5 Jahre; 1754 Steuerzahlungen an andere Länder |
| Sonstige Verbindlichkeiten oder sonstige Vermögensgegenstände | EUR | 1755 Lohn- und Gehaltsverrechnung; 1756 Lohn- und Gehaltsverrechnung nach § 11 Abs. 2 Satz 2 EStG für § 4 Abs. 3 EStG |
| Sonstige Verbindlichkeiten oder sonstige Vermögensgegenstände | SB | 1757 Verbindlichkeiten gegenüber Gesellschaft/Gesamt hand; 1758 Sonstige Verbindlichkeiten aus genossenschaftlicher Rückvergütung |
| Sonstige Verbindlichkeiten oder sonstige Vermögensgegenstände |  | 1759 Voraussichtliche Beitragsschuld gegenüber den Sozialversicherungsträgern |
| Steuerrückstellungen oder sonstige Vermögensgegenstände | U | S 1760 Umsatzsteuer nicht fällig; S 1761 Umsatzsteuer nicht fällig 7 %; S 1762 Umsatzsteuer nicht fällig aus im Inland steuerpflichtigen EU-Lieferungen |
|  | R | 1763 |
|  | U | S 1764 Umsatzsteuer nicht fällig aus im Inland steuerpflichtigen EU-Lieferungen 19 % |
|  | R | 1765 |
|  | U | S 1766 Umsatzsteuer nicht fällig 19 % |
| Sonstige Verbindlichkeiten |  | S 1767 Umsatzsteuer aus im anderen EU-Land steuerpflichtigen Lieferungen; S 1768 Umsatzsteuer aus im anderen EU-Land steuerpflichtigen sonstigen Leistungen/Werklieferungen |
| Sonstige Verbindlichkeiten oder sonstige Vermögensgegenstände |  | S 1769 Umsatzsteuer aus der Auslagerung von Gegenständen aus einem Umsatzsteuerlager; S 1770 Umsatzsteuer; S 1771 Umsatzsteuer 7 %; S 1772 Umsatzsteuer aus innergemeinschaftlichem Erwerb; R 1773; S 1774 Umsatzsteuer aus innergemeinschaftlichem Erwerb 19 %; R 1775; S 1776 Umsatzsteuer 19 %; S 1777 Umsatzsteuer aus im Inland steuerpflichtigen EU-Lieferungen; S 1778 Umsatzsteuer aus im Inland steuerpflichtigen EU-Lieferungen 19 %; S 1779 Umsatzsteuer aus innergemeinschaftlichem Erwerb ohne Vorsteuerabzug |
|  | U | F 1780 Umsatzsteuer-Vorauszahlungen |
|  | U | F 1781 Umsatzsteuer-Vorauszahlungen 1/11 |
|  | U | F 1782 Nachsteuer, UStVA Kz. 65 |
|  | U | F 1783 In Rechnung unrichtig oder unberechtigt ausgewiesene Steuerbeträge, UStVA Kz. 69 |
|  |  | S 1784 Umsatzsteuer aus innergemeinschaftlichem Erwerb von Neufahrzeugen von Lieferanten ohne Umsatzsteuer-Identifikationsnummer; S 1785 Umsatzsteuer nach § 13b UStG |
| Sonstige Verbindlichkeiten oder *sonstige Vermögensgegenstände* |  | R 1786 Umsatzsteuer nach § 13b UStG 19 %; S 1787 Umsatzsteuer nach § 13b UStG 19 %; 1788 Einfuhrumsatzsteuer aufgeschoben bis ...; 1789 Umsatzsteuer laufendes Jahr; 1790 Umsatzsteuerverbindlichkeiten Vorjahr; 1791 Umsatzsteuerverbindlichkeiten frühere Jahre |
|  |  | 1792 Sonstige Verrechnungskonten (Interimskonten) |
| Sonstige Vermögensgegenstände H-Saldo |  | 1793 Verrechnungskonto geleistete Anzahlungen bei Buchung über Kreditorenkonto |
| Sonstige Verbindlichkeiten oder sonstige Vermögensgegenstände |  | S 1794 Umsatzsteuer aus Erwerb als letzter Abnehmer innerhalb eines Dreiecksgeschäfts |
| Sonstige Verbindlichkeiten | EUR | 1795 Verbindlichkeiten im Rahmen der sozialen Sicherheit für § 4 Abs. 3 EStG; 1796 Ausgegebene Geschenkgutscheine; 1797 Verbindlichkeiten aus Umsatzsteuer-Vorauszahlungen; S 1798 Umsatzsteuer aus im Inland steuerpflichtigen EU-Lieferungen, nur OSS; F 1799 |
|  |  | **Privat (Eigenkapital) Vollhafter/Einzelunternehmer**; F 1800 Privatentnahmen allgemein; F 1801 Privatentnahmen allgemein (nur Einzelunternehmen); F 1810 Privatsteuern; F 1811 Privatsteuern (nur Einzelunternehmen); F 1820 Sonderausgaben beschränkt abzugsfähig; F 1821 Sonderausgaben beschränkt abzugsfähig (nur Einzelunternehmen); F 1830 Sonderausgaben unbeschränkt abzugsfähig; F 1831 Sonderausgaben unbeschränkt abzugsfähig (nur Einzelunternehmen); F 1840 Zuwendungen, Spenden; F 1841 Zuwendungen, Spenden (nur Einzelunternehmen); F 1850 Außergewöhnliche Belastungen; F 1851 Außergewöhnliche Belastungen (nur Einzelunternehmen); F 1860 Grundstücksaufwand; F 1861 Grundstücksaufwand (nur Einzelunternehmen); 1869 Grundstücksaufwand (Umsatzsteuerschlüssel möglich, nur Einzelunternehmen); F 1870 Grundstücksertrag; F 1871 Grundstücksertrag (nur Einzelunternehmen) |
|   |   | 1879 Grundstücksertrag (Umsatzsteuerschlüssel möglich, nur Einzelunternehmen); F 1880 Unentgeltliche Wertabgaben; F 1881 Unentgeltliche Wertabgaben (nur Einzelunternehmen); F 1890 Privateinlagen; F 1891 Privateinlagen (nur Einzelunternehmen) |
|   |   | Privat (Fremdkapital) Teilhafter |
|   |   | F 1900 Privatentnahmen allgemein (TH), FK; R 1901-09 |
|   |   | F 1910 Privatsteuern (TH), FK; R 1911-19 |
|   |   | F 1920 Sonderausgaben beschränkt abzugfähig (TH), FK; R 1921-29 |
|   |   | F 1930 Sonderausgaben unbeschränkt abzugfähig (TH), FK; R 1931-39 |
|   |   | F 1940 Zuwendungen, Spenden (TH), FK; R 1941-49 |
|   |   | F 1950 Außergewöhnliche Belastungen (TH), FK; R 1951-59 |
|   |   | F 1960 Grundstücksaufwand (TH), FK; R 1961-69 |
|   |   | F 1970 Grundstücksertrag (TH), FK; R 1971-79 |
|   |   | F 1980 Unentgeltliche Wertabgaben (TH), FK; R 1981-89 |
|   |   | F 1990 Privateinlagen (TH), FK; R 1991-99 |
|  |  | KU 2310-2319; V 2350-2374; M 2400-2409; M 2430-2449; KU 2481; KU 2660-2669; M 2707-2712; M 2715; M 2720-2722; M 2725; KU 2727-2729; M 2732-2734; V 2736; KU 2737-2741; M 2750-2752; KU 2841; KU 2865; KU 2867 |
|  |  | Sonstige betriebliche Aufwendungen |
| Sonstige betriebliche Aufwendungen | K | R 2000-03 2004 Verluste durch Verschmelzung und Umwandlung; R 2006 2007 Aufwendungen für Restrukturierungs- und Sanierungsmaßnahmen; R 2008 |
|  |  | Betriebsfremde und periodenfremde Aufwendungen; 2010 Betriebsfremde Aufwendungen; 2020 Periodenfremde Aufwendungen |
|  |  | Aufwendungen aus der Anwendung von Übergangsvorschriften i. S. d. BilMoG; 2090 Aufwendungen aus der Anwendung von Übergangsvorschriften; 2091 Aufwendungen aus der Anwendung von Übergangsvorschriften (Pensionsrückstellungen); 2094 Aufwendungen aus der Anwendung von Übergangsvorschriften (Latente Steuern) |
|  |  | Zinsen und ähnliche Aufwendungen |
| Zinsen und ähnliche Aufwendungen | G K | 2100 Zinsen und ähnliche Aufwendungen |
|  | G K | 2102 Steuerlich nicht abzugsfähige andere Nebenleistungen zu Steuern § 4 Abs. 5b EStG |
|  | G K | 2103 Steuerlich abzugsfähige andere Nebenleistungen zu Steuern |
|  | G K | 2104 Steuerlich nicht abzugsfähige andere Nebenleistungen zu Steuern |
| Zinsen und ähnliche Aufwendungen | G K | 2105 Zinsaufwendungen § 233a AO nicht abzugsfähig |
|  | G K | 2107 Zinsaufwendungen § 233a AO abzugsfähig |
|  | G K | 2108 Zinsaufwendungen §§ 234 bis 237 AO nicht abzugsfähig |
|  | G K | 2109 Zinsaufwendungen an verbundene Unternehmen |
|  | G K | 2110 Zinsaufwendungen für kurzfristige Verbindlichkeiten |
|  | G K | 2111 Zinsaufwendungen §§ 234 bis 237 AO abzugsfähig |
|  | G K | 2113 Nicht abzugsfähige Schuldzinsen nach § 4 Abs. 4a EStG (Hinzurechnungsbetrag) |
|  | K | 2114 Zinsen für Gesellschafterdarlehen |
|  | G K | 2115 Zinsen und ähnliche Aufwendungen §§ 3 Nr. 40 und 3c EStG bzw. § 8b Abs. 1 und 4 KStG;  |
|  | G K | 2116 Zinsen und ähnliche Aufwendungen an verbundene Unternehmen §§ 3 Nr. 40 und 3c EStG bzw. § 8b Abs. 1 KStG;  |
|  | K | 2117 Zinsen an Gesellschafter mit einer Beteiligung von mehr als 25 % bzw. diesen nahe stehende Personen |
|  | G K | 2118 Zinsen auf Kontokorrentkonten |
|  | G K | 2119 Zinsaufwendungen für kurzfristige Verbindlichkeiten an verbundene Unternehmen |
|  | G K | 2120 Zinsaufwendungen für langfristige Verbindlichkeiten |
|  | G K | 2123 Abschreibungen auf ein Agio oder Disagio/Damnum zur Finanzierung |
|  | G K | 2124 Abschreibungen auf ein Agio oder Disagio/Damnum zur Finanzierung des Anlagevermögens |
|  | G K | 2125 Zinsaufwendungen für Gebäude, die zum Betriebsvermögen gehören |
|  | G K | 2126 Zinsen zur Finanzierung des Anlagevermögens |
|  | G K | 2127 Renten und dauernde Lasten |
|  | G | 2128 Zinsaufwendungen für Kapitalüberlassung durch Mitunternehmer § 15 EStG (mit Sonderbetriebseinnahme korrespondierend) |
|  | G K | 2129 Zinsaufwendungen für langfristige Verbindlichkeiten an verbundene Unternehmen |
|  | R | 2130 -39 |
|  |  | 2140 Zinsähnliche Aufwendungen; 2141 Kreditprovisionen und Verwaltungskostenbeiträge; 2142 Zinsanteil der Zuführungen zu Pensionsrückstellungen; 2143 Zinsaufwendungen aus der Abzinsung von Verbindlichkeiten; 2144 Zinsaufwendungen aus der Abzinsung von Rückstellungen; 2145 Zinsaufwendungen aus der Abzinsung von Pensionsrückstellungen und ähnlichen/vergleichbaren Verpflichtungen |
|  | HB |  |
| Zinsen und ähnliche Aufwendungen oder sonstige Zinsen und ähnliche Erträge | HB | 2146 Zinsaufwendungen aus der Abzinsung von Pensionsrückstellungen und ähnlichen/vergleichbaren Verpflichtungen zur Verrechnung nach § 246 Abs. 2 HGB; 2147 Aufwendungen aus Vermögensgegenständen zur Verrechnung nach § 246 Abs. 2 HGB |
| Zinsen und ähnliche Aufwendungen oder sonstige Zinsen und ähnliche Erträge | HB | 2147 Aufwendungen aus Vermögensgegenständen zur Verrechnung nach § 246 Abs. 2 HGB |
| Zinsen und ähnliche Aufwendungen | G K | 2148 Steuerlich nicht abzugsfähige Zinsaufwendungen aus der Abzinsung von Rückstellungen; 2149 Zinsähnliche Aufwendungen an verbundene Unternehmen |
| Sonstige betriebliche Aufwendungen |  | 2150 Aufwendungen aus der Währungsumrechnung; 2151 Aufwendungen aus der Währungsumrechnung (nicht § 256a HGB); 2166 Aufwendungen aus Bewertung Finanzmittelfonds; 2170 Nicht abziehbare Vorsteuer; 2171 Nicht abziehbare Vorsteuer 7 %; 2174 Nicht abziehbare Vorsteuer R-75; 2176 Nicht abziehbare Vorsteuer 19 % |
| Steuern vom Einkommen und Ertrag | K | 2200 Körperschaftsteuer; 2203 Körperschaftsteuer für Vorjahre; 2204 Körperschaftsteuererstattungen für Vorjahre; 2208 Solidaritätszuschlag; 2209 Solidaritätszuschlag für Vorjahre; 2210 Solidaritätszuschlagerstattungen für Vorjahre; 2213 Kapitalertragsteuer 25 %; 2216 Anrechenbarer Solidaritätszuschlag auf Kapitalertragsteuer 25 % |
|  | G K | 2218 Ausländische Steuer auf im Inland steuerfreie DBA-Einkünfte; 2219 Anrechnung/Abzug ausländische Quellensteuer |
|  | G K | 2250 Aufwendungen aus der Zuführung und Auflösung von latenten Steuern |
|  | HB | 2255 Erträge aus der Zuführung und Auflösung von latenten Steuern |
|  | G K | 2260 Aufwendungen aus der Zuführung zu Steuerrückstellungen für Steuerstundung (BStBK); 2265 Erträge aus der Auflösung von Steuerrückstellungen für Steuerstundung (BStBK) |
|  | G K | 2281 Gewerbesteuernachzahlungen und Gewerbesteuererstattungen für Vorjahre nach § 4 Abs. 5b EStG; 2283 Erträge aus der Auflösung von Gewerbesteuerrückstellungen nach § 4 Abs. 5b EStG |
| Sonstige Steuern |  | 2285 Steuernachzahlungen Vorjahre für sonstige Steuern; 2287 Steuererstattungen Vorjahre für sonstige Steuern; 2289 Erträge aus der Auflösung von Rückstellungen für sonstige Steuern |
| Sonstige betriebliche Aufwendungen | G K | 2300 Sonstige Aufwendungen;2307 Sonstige Aufwendungen betriebsfremd und regelmäßig;2308 Sonstige nicht abziehbare Aufwendungen;2309 Sonstige Aufwendungen unregelmäßig;2310 Anlagenabgänge Sachanlagen (Restbuchwert bei Buchverlust);2311 Anlagenabgänge immaterielle Vermögensgegenstände (Restbuchwert bei Buchverlust);2312 Anlagenabgänge Finanzanlagen (Restbuchwert bei Buchverlust);2313 Anlagenabgänge Finanzanlagen § 3 Nr. 40 EStG bzw. § 8b Abs. 2 KStG i. V. m. § 8b Abs. 3 S. 3 KStG (Restbuchwert bei Buchverlust) |
| Sonstige betriebliche Erträge | G K | 2315 Anlagenabgänge Sachanlagen (Restbuchwert bei Buchgewinn);2316 Anlagenabgänge immaterielle Vermögensgegenstände (Restbuchwert bei Buchgewinn);2317 Anlagenabgänge Finanzanlagen (Restbuchwert bei Buchgewinn);2318 Anlagenabgänge Finanzanlagen § 3 Nr. 40 EStG bzw. § 8b Abs. 2 KStG (Restbuchwert bei Buchgewinn) |
| Sonstige betriebliche Aufwendungen | K | R 2320 -23;2324 Abgänge Wertpapiere des Umlaufvermögens § 8b Abs. 2 KStG i. V. m. § 8b Abs. 3 S. 3 KStG (Buchwert bei Buchverlust);2325 Verluste aus dem Abgang von Gegenständen des Umlaufvermögens (außer Vorräte) |
|  | G K | 2326 Verluste aus dem Abgang von Gegenständen des Umlaufvermögens (außer Vorräte) § 3 Nr. 40 EStG bzw. § 8b Abs. 2 KStG i. V. m. § 8b Abs. 3 S. 3 KStG |
|  | EUR | 2327 Abgang von Wirtschaftsgütern des Umlaufvermögens nach § 4 Abs. 3 Satz 4 EStG |
|  | G K EUR | 2328 Abgang von Wirtschaftsgütern des Umlaufvermögens § 3 Nr. 40 EStG bzw. § 8b Abs. 2 KStG i. V. m. § 8b Abs. 3 S. 3 KStG nach § 4 Abs. 3 S. 4 EStG |
|  | SB | 2339 Einstellungen in die steuerliche Rücklage nach § 4g EStG |
|  | SB | 2342 Einstellungen in die steuerliche Rücklage nach § 6b Abs. 3 EStG |
|  | SB | 2343 Einstellungen in die steuerliche Rücklage nach § 6b Abs. 10 EStG |
|  | SB | 2344 Einstellungen in die Rücklage für Ersatzbeschaffung nach R 6.6 EStR |
|  | SB | 2345 Einstellungen in sonstige steuerliche Rücklagen |
|  | | 2347 Aufwendungen aus dem Erwerb eigener Anteile;2350 Sonstige Grundstücksaufwendungen (neutral) |
| Sonstige Steuern |  | 2375 Grundsteuer |
| Sonstige betriebliche Aufwendungen | G K | 2380 Zuwendungen, Spenden, steuerlich nicht abziehbar;2381 Zuwendungen, Spenden für wissenschaftliche und kulturelle Zwecke;2382 Zuwendungen, Spenden für mildtätige Zwecke;2383 Zuwendungen, Spenden für kirchliche, religiöse und gemeinnützige Zwecke;2384 Zuwendungen, Spenden an politische Parteien;2385 Nicht abziehbare Hälfte der Aufsichtsratsvergütungen;2386 Abziehbare Aufsichtsratsvergütungen;2387 Zuwendungen, Spenden in das zu erhaltende Vermögen (Vermögensstock) einer Stiftung für gemeinnützige Zwecke;2389 Zuwendungen, Spenden in das zu erhaltende Vermögen (Vermögensstock) einer Stiftung für kirchliche, religiöse und gemeinnützige Zwecke;2390 Zuwendungen, Spenden an Stiftungen in das zu erhaltende Vermögen (Vermögensstock) für wissenschaftliche, mildtätige, kulturelle Zwecke |
|   |   | 2400 Forderungsverluste (übliche Höhe) |
|   | U | AM 2401 Forderungsverluste 7 % USt (übliche Höhe) |
|   | U | AM 2402 Forderungsverluste aus steuerfreien EU-Lieferungen (übliche Höhe) |
|   | U | AM 2403 Forderungsverluste aus im Inland steuerpflichtigen EU-Lieferungen 7 % USt (übliche Höhe) |
|   |   | R 2404-05 |
|   | U | AM 2406 Forderungsverluste 19 % USt (übliche Höhe) |
|   |   | R 2407 |
|   | U | AM 2408 Forderungsverluste aus im Inland steuerpflichtigen EU-Lieferungen 19 % USt (übliche Höhe) |
|   |   | R 2409 |
| Abschreibungen auf Vermögensgegenstände des Umlaufvermögens, soweit diese die in der Kapitalgesellschaft üblichen Abschreibungen überschreiten | U | 2430 Forderungsverluste, unüblich hoch |
|   | U | AM 2431 Forderungsverluste 7 % USt (soweit unüblich hoch) |
|   |   | R 2432-35 |
|   | U | AM 2436 Forderungsverluste 19 % USt (soweit unüblich hoch) |
|   |   | R 2437-38 |
