# This file was automatically generated by Contrib::SKR03Mapping::Generators::ClassificationJsonBuilder
# Columns: code; flags; range; cid; presentation_rule; description
0890;F;;;;Gesellschafter-Darlehen
0891;R;0891-0899;;;Eigenkapital Teilhafter
0900;F;;;;Kommandit-Kapital
0901;R;0901-0909;;;
0910;F;;;;Verlustausgleichskonto
0911;R;0911-0919;;;Fremdkapital Teilhafter
0920;F;;;;Gesellschafter-Darlehen
0921;R;0921-0929;;;Sonderposten mit Rücklageanteil
0930;;;;unknown;Übrige andere Sonderposten
0931;;;;unknown;Steuerfreie Rücklagen nach § 6b EStG
0932;;;;unknown;Rücklage für Ersatzbeschaffung
0940;;;;unknown;Sonderposten mit Rücklageanteil, Sonderabschreibungen
0945;;;;unknown;Ausgleichsposten bei Entnahmen § 4g EStG
0946;;;;unknown;Rücklage für Zuschüsse
0947;;;;unknown;Sonderposten mit Rücklageanteil nach § 7g Abs. 5 EStG
0948;;;;unknown;Sonderposten für Zuschüsse Dritter
0949;;;;unknown;Sonderposten für Investitionszulagen
0950;;;b.passiva.rueckstellungen.rueckstellungen_fuer_pensionen_und_aehnliche_verpflichtungen;liability_only;Rückstellungen für Pensionen und ähnliche Verpflichtungen
0951;;;;needs_review;Rückstellungen für Pensionen und ähnliche Verpflichtungen zur Saldierung mit Vermögensgegenständen zum langfristigen Verbleib nach § 246 Abs. 2 HGB
0952;;;b.passiva.rueckstellungen.rueckstellungen_fuer_pensionen_und_aehnliche_verpflichtungen;liability_only;Rückstellungen für Pensionen und ähnliche Verpflichtungen gegenüber Gesellschaftern oder nahe stehenden Personen
0953;;;b.passiva.rueckstellungen.rueckstellungen_fuer_pensionen_und_aehnliche_verpflichtungen;liability_only;Rückstellungen für Direktzusagen
0954;;;b.passiva.rueckstellungen.rueckstellungen_fuer_pensionen_und_aehnliche_verpflichtungen;liability_only;Rückstellungen für Zuschussverpflichtungen für Pensionskassen und Lebensversicherungen
0955;;;b.passiva.rueckstellungen.steuerrueckstellungen;liability_only;Steuerrückstellungen
0956;;;b.passiva.rueckstellungen.steuerrueckstellungen;liability_only;Gewerbesteuerrückstellung nach § 4 Abs. 5b EStG
0961;;;b.passiva.rueckstellungen.sonstige_rueckstellungen;liability_only;Urlaubsrückstellungen
0962;;;b.passiva.rueckstellungen.steuerrueckstellungen;liability_only;Steuerrückstellung aus Steuerstundung (BStBK)
0963;;;b.passiva.rueckstellungen.steuerrueckstellungen;liability_only;Körperschaftsteuerrückstellung
0964;;;b.passiva.rueckstellungen.sonstige_rueckstellungen;liability_only;Rückstellungen für mit der Altersversorgung vergleichbare langfristige Verpflichtungen zum langfristigen Verbleib
0965;;;b.passiva.rueckstellungen.sonstige_rueckstellungen;liability_only;Rückstellungen für Personalkosten
0966;;;b.passiva.rueckstellungen.sonstige_rueckstellungen;liability_only;Rückstellungen zur Erfüllung der Aufbewahrungspflichten
0967;;;;needs_review;Rückstellungen für mit der Altersversorgung vergleichbare langfristige Verpflichtungen zur Saldierung mit Vermögensgegenständen zum langfristigen Verbleib nach § 246 Abs. 2 HGB
0968;;;;unknown;Passive latente Steuern
0969;;;b.passiva.rueckstellungen.steuerrueckstellungen;liability_only;Rückstellung für latente Steuern
0970;;;b.passiva.rueckstellungen.sonstige_rueckstellungen;liability_only;Sonstige Rückstellungen
0971;;;b.passiva.rueckstellungen.sonstige_rueckstellungen;liability_only;Rückstellungen für unterlassene Aufwendungen für Instandhaltung, Nachholung in den ersten drei Monaten
0973;;;b.passiva.rueckstellungen.sonstige_rueckstellungen;liability_only;Rückstellungen für Abraam- und Abfallbeseitigung
0974;;;b.passiva.rueckstellungen.sonstige_rueckstellungen;liability_only;Rückstellungen für Gewährleistungen (Gegenkonto 4790)
0976;;;b.passiva.rueckstellungen.sonstige_rueckstellungen;liability_only;Rückstellungen für drohende Verluste aus schwebenden Geschäften
0977;;;b.passiva.rueckstellungen.sonstige_rueckstellungen;liability_only;Rückstellungen für Abschluss- und Prüfungskosten
0978;;;b.passiva.rueckstellungen.sonstige_rueckstellungen;liability_only;Aufwandsrückstellungen nach § 249 Abs. 2 HGB a. F.
0979;;;b.passiva.rueckstellungen.sonstige_rueckstellungen;liability_only;Rückstellungen für Umweltschutz
0980;;;;unknown;Aktive Rechnungsabgrenzung
0983;;;;unknown;Aktive latente Steuern
0984;;;;unknown;Als Aufwand berücksichtigte Zölle und Verbrauchsteuern auf Vorräte
0985;;;;unknown;Als Aufwand berücksichtigte Umsatzsteuer auf Anzahlungen
0986;;;;unknown;Damnum/Disagio
0987;;;b.passiva.eigenkapital.gewinnruecklagen.andere_gewinnruecklagen;unknown;Rechnungsabgrenzungsposten (Gewinnrücklage Soll) aus erfolgsneutralen Verrechnungen
0988;;;b.passiva.eigenkapital.gewinnruecklagen.andere_gewinnruecklagen;unknown;Latente Steuern (Gewinnrücklage Soll) aus erfolgsneutralen Verrechnungen
0989;F;;;;Gesamthänderisch gebundene Rücklagen (mit Aufteilung für Kapitalkontenentwicklung)
0990;;;;unknown;Passive Rechnungsabgrenzung
0992;;;;needs_review;Abgrenzungen unterjährig pauschal gebuchter Abschreibungen für BWA
0996;;;;fll_standard;Pauschalwertberichtigung auf Forderungen - Restlaufzeit bis zu 1 Jahr
0997;;;;fll_standard;- Restlaufzeit größer 1 Jahr
0998;;;;fll_standard;Einzelwertberichtigungen auf Forderungen - Restlaufzeit bis zu 1 Jahr
0999;;;;fll_standard;- Restlaufzeit größer 1 Jahr
1000;F;;;asset_only;Kasse
1010;F;;;asset_only;Nebenkasse 1
1020;F;;;asset_only;Nebenkasse 2
1100;F;;;bank_bidirectional;Bank (Postbank)
1110;F;;;bank_bidirectional;Bank (Postbank 1)
1120;F;;;bank_bidirectional;Bank (Postbank 2)
1130;F;;;bank_bidirectional;Bank (Postbank 3)
1190;F;;;bank_bidirectional;LZB-Guthaben
1195;F;;;bank_bidirectional;Bundesbankguthaben
1200;F;;;bank_bidirectional;Bank
1210;F;;;bank_bidirectional;Bank 1
1220;F;;;bank_bidirectional;Bank 2
1230;F;;;bank_bidirectional;Bank 3
1240;F;;;bank_bidirectional;Bank 4
1250;F;;;bank_bidirectional;Bank 5
1289;R;;;bank_bidirectional;1290 Finanzmittelanlagen im Rahmen der kurzfristigen Finanzdisposition (nicht im Finanzmittelfonds enthalten)
1295;;;;bank_bidirectional;Verbindlichkeiten gegenüber Kreditinstituten (nicht im Finanzmittelfonds enthalten)
1310;R;1310-1319;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.forderungen_gegen_verbundene_unternehmen;receivable_affiliated;
1320;R;1320-1326;;receivable_beteiligung;
1329;;;b.aktiva.umlaufvermoegen.wertpapiere.sonstige_wertpapiere;unknown;Andere Wertpapiere mit unwesentlichen Wertschwankungen
1330;F;;;asset_only;Schecks
1340;;;b.aktiva.umlaufvermoegen.wertpapiere.anteile_an_verbundenen_unternehmen_2;unknown;Anteile an verbundenen Unternehmen (Umlaufvermögen)
1344;;;b.aktiva.umlaufvermoegen.wertpapiere.anteile_an_verbundenen_unternehmen_2;unknown;Anteile an herrschender oder mit Mehrheit beteiligter Gesellschaft
1348;;;b.aktiva.umlaufvermoegen.wertpapiere.sonstige_wertpapiere;unknown;Sonstige Wertpapiere
1349;;;b.aktiva.umlaufvermoegen.wertpapiere.sonstige_wertpapiere;unknown;Wertpapieranlagen im Rahmen der kurzfristigen Finanzdisposition
1350;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;GmbH-Anteile zum kurzfristigen Verbleib
1352;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Genossenschaftsanteile zum kurzfristigen Verbleib
1353;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Vermögensgegenstände zur Erfüllung von mit der Altersversorgung vergleichbaren langfristigen Verpflichtungen
1354;;;;needs_review;Vermögensgegenstände zur Saldierung mit der Altersversorgung vergleichbaren langfristigen Verpflichtungen nach § 246 Abs. 2 HGB
1355;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Ansprüche aus Rückdeckungsversicherungen
1356;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Vermögensgegenstände zur Erfüllung von Pensionsrückstellungen und ähnlichen Verpflichtungen zum langfristigen Verbleib
1357;;;;needs_review;Vermögensgegenstände zur Saldierung mit Pensionsrückstellungen und ähnlichen Verpflichtungen zum langfristigen Verbleib nach § 246 Abs. 2 HGB
1360;F;;;sonstige_bidirectional;Geldtransit
1371;F;;;sonstige_bidirectional;Verrechnungskonto Gewinnermittlung § 4 Abs. 3 EStG, nicht ergebniswirksam
1372;;;;sonstige_bidirectional;Wirtschaftsgüter des Umlaufvermögens nach § 4 Abs. 3 Satz 4 EStG
1373;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;
1376;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Forderungen gegen typisch stille Gesellschafter
1377;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;- Restlaufzeit bis 1 Jahr
1378;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;- Restlaufzeit größer 1 Jahr
1379;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;
1380;;;;sonstige_bidirectional;Überleitungskonto Kostenstelle
1381;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Forderungen gegen GmbH-Gesellschafter
1382;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;- Restlaufzeit bis 1 Jahr
1383;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;- Restlaufzeit größer 1 Jahr
1385;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Forderungen gegen persönlich haftende Gesellschafter
1386;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;- Restlaufzeit bis 1 Jahr
1387;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;- Restlaufzeit größer 1 Jahr
1389;;;;;Ansprüche aus betrieblicher Altersversorgung und Pensionsansprüche (Mitunternehmer)
1390;F;;;sonstige_bidirectional;Verrechnungskonto Ist-Versteuerung
1391;F;;;;Neutralisierung ertragswirksamer Sachverhalte für § 4 Abs. 3 EStG
1394;;;;;Forderungen gegen Gesellschaft/Gesamthand
1400;S;;;fll_standard;Forderungen aus Lieferungen und Leistungen
1401;R;;;fll_standard;Forderungen aus Lieferungen und Leistungen
1410;F;;;fll_standard;Forderungen aus Lieferungen und Leistungen ohne Kontokorrent
1445;F;;;fll_standard;Forderungen aus Lieferungen und Leistungen zum allgemeinen Umsatzsteuersatz oder eines Kleinunternehmers (EÜR)
1446;F;;;fll_standard;Forderungen aus Lieferungen und Leistungen zum ermäßigten Umsatzsteuersatz (EÜR)
1447;F;;;fll_standard;Forderungen aus steuerfreien oder nicht steuerbaren Lieferungen und Leistungen (EÜR)
1448;F;;;fll_standard;Forderungen aus Lieferungen und Leistungen nach Durchschnittssätzen nach § 24 UStG (EÜR)
1449;F;;;fll_standard;Gegenkonto 1445-1448 bei Aufteilung der Forderungen nach Steuersätzen (EÜR)
1450;F;;;fll_standard;Forderungen nach § 11 Abs. 1 Satz 2 EStG für § 4 Abs. 3 EStG
1451;F;;;fll_standard;Forderungen aus Lieferungen und Leistungen ohne Kontokorrent - Restlaufzeit bis 1 Jahr
1455;F;;;fll_standard;- Restlaufzeit größer 1 Jahr
1460;F;;;fll_standard;Zweifelhafte Forderungen
1461;F;;;fll_standard;- Restlaufzeit bis 1 Jahr
1465;F;;;fll_standard;- Restlaufzeit größer 1 Jahr
1470;F;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.forderungen_gegen_verbundene_unternehmen;fll_standard;Forderungen aus Lieferungen und Leistungen gegen verbundene Unternehmen
1471;F;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.forderungen_gegen_verbundene_unternehmen;fll_standard;- Restlaufzeit bis 1 Jahr
1475;F;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.forderungen_gegen_verbundene_unternehmen;fll_standard;- Restlaufzeit größer 1 Jahr
1478;;;;fll_standard;Wertberichtigungen auf Forderungen gegen verbundene Unternehmen - Restlaufzeit bis 1 Jahr
1479;;;;fll_standard;- Restlaufzeit größer 1 Jahr
1480;F;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.forderungen_gegen_unternehmen_mit_denen_ein_beteiligungsverh;fll_standard;Forderungen aus Lieferungen und Leistungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht
1481;F;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.forderungen_gegen_unternehmen_mit_denen_ein_beteiligungsverh;fll_standard;- Restlaufzeit bis 1 Jahr
1485;F;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.forderungen_gegen_unternehmen_mit_denen_ein_beteiligungsverh;fll_standard;- Restlaufzeit größer 1 Jahr
1488;;;;fll_standard;Wertberichtigungen auf Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht - Restlaufzeit bis 1 Jahr
1489;;;;fll_standard;- Restlaufzeit größer 1 Jahr
1490;F;;;fll_standard;Forderungen aus Lieferungen und Leistungen gegen Gesellschafter
1491;F;;;fll_standard;- Restlaufzeit bis 1 Jahr
1495;F;;;fll_standard;- Restlaufzeit größer 1 Jahr
1498;;;;fll_standard;Gegenkonto zu sonstigen Vermögensgegenständen bei Buchungen über Debitorenkonto
1499;;;;fll_standard;Gegenkonto 1451-1497 bei Aufteilung Debitorenkonto
1500;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Sonstige Vermögensgegenstände
1501;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;- Restlaufzeit bis 1 Jahr
1502;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;- Restlaufzeit größer 1 Jahr
1503;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Forderungen gegen Vorstandsmitglieder und Geschäftsführer - Restlaufzeit bis 1 Jahr
1504;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;- Restlaufzeit größer 1 Jahr
1505;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Forderungen gegen Aufsichtsrats- und Beiratsmitglieder - Restlaufzeit bis 1 Jahr
1506;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;- Restlaufzeit größer 1 Jahr
1507;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Forderungen gegen sonstige Gesellschafter - Restlaufzeit bis 1 Jahr
1508;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;- Restlaufzeit größer 1 Jahr
1510;;;b.aktiva.umlaufvermoegen.vorraete.geleistete_anzahlungen_2;unknown;Geleistete Anzahlungen auf Vorräte
1511;AV;;b.aktiva.umlaufvermoegen.vorraete.geleistete_anzahlungen_2;unknown;Geleistete Anzahlungen, 7 % Vorsteuer
1512;AV;;b.aktiva.umlaufvermoegen.vorraete.geleistete_anzahlungen_2;unknown;Geleistete Anzahlungen, 5 % Vorsteuer
1513;R;1513-1516;b.aktiva.umlaufvermoegen.vorraete.geleistete_anzahlungen_2;unknown;
1517;AV;;b.aktiva.umlaufvermoegen.vorraete.geleistete_anzahlungen_2;unknown;Geleistete Anzahlungen, 16 % Vorsteuer
1518;AV;;b.aktiva.umlaufvermoegen.vorraete.geleistete_anzahlungen_2;unknown;Geleistete Anzahlungen, 19 % Vorsteuer
1519;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Forderungen gegen Arbeitsgemeinschaften
1520;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Forderungen gegenüber Krankenkassen aus Aufwendungsausgleichsgesetz
1521;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Agenturwarenabrechnung
1522;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Genussrechte
1524;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Einzahlungsansprüche zu Nebenleistungen oder Zuzahlungen
1525;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Kautionen
1526;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;- Restlaufzeit bis 1 Jahr
1527;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;- Restlaufzeit größer 1 Jahr
1528;F;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Nachträglich abziehbare Vorsteuer nach § 15a Abs. 2 UStG
1529;F;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Zurückzuzahlende Vorsteuer nach § 15a Abs. 2 UStG
1530;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Forderungen gegen Personal aus Lohn- und Gehaltsabrechnung
1531;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;- Restlaufzeit bis 1 Jahr
1537;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;- Restlaufzeit größer 1 Jahr
1539;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Umsatzsteuerforderungen frühere Jahre
1540;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Forderungen aus Gewerbesteuerüberzahlungen
1542;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Steuererstattungsansprüche gegenüber anderen Ländern
1543;F;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Forderungen an das Finanzamt aus abgeführtem Bauabzugsbetrag
1544;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Forderung gegenüber Bundesagentur für Arbeit
1545;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Forderungen aus Umsatzsteuer-Vorauszahlungen
1546;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Umsatzsteuerforderungen Vorjahr
1547;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Forderungen aus entrichteten Verbrauchsteuern
1548;S;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Vorsteuer in Folgeperiode/im Folgejahr abziehbar
1549;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Körperschaftsteuerrückforderung
1550;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;Darlehen
1551;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;- Restlaufzeit bis 1 Jahr
1555;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.sonstige_vermoegensgegenstaende;unknown;- Restlaufzeit größer 1 Jahr
1556;F;;;sonstige_bidirectional;Nachträglich abziehbare Vorsteuer nach §15a Abs.1 UStG, bewegliche Wirtschaftsgüter
1557;F;;;sonstige_bidirectional;Zurückzuzahlende Vorsteuer nach §15a Abs.1 UStG, bewegliche Wirtschaftsgüter
1558;F;;;sonstige_bidirectional;Nachträglich abziehbare Vorsteuer nach §15a Abs.1 UStG, unbewegliche Wirtschaftsgüter
1559;F;;;sonstige_bidirectional;Zurückzuzahlende Vorsteuer nach §15a Abs.1 UStG, unbewegliche Wirtschaftsgüter
1560;S;;;sonstige_bidirectional;Aufzuteilende Vorsteuer
1561;S;;;sonstige_bidirectional;Aufzuteilende Vorsteuer 7%
1562;S;;;sonstige_bidirectional;Aufzuteilende Vorsteuer aus innergemeinschaftlichem Erwerb
1563;S;;;sonstige_bidirectional;Aufzuteilende Vorsteuer aus innergemeinschaftlichem Erwerb 19%
1564;R;1564-1565;;sonstige_bidirectional;
1566;S;;;sonstige_bidirectional;Aufzuteilende Vorsteuer 19%
1567;S;;;sonstige_bidirectional;Aufzuteilende Vorsteuer nach §§13a und 13b UStG
1568;R;;;sonstige_bidirectional;
1569;S;;;sonstige_bidirectional;Aufzuteilende Vorsteuer nach §§13a und 13b UStG 19%
1570;S;;;sonstige_bidirectional;Abziehbare Vorsteuer
1571;S;;;sonstige_bidirectional;Abziehbare Vorsteuer 7%
1572;S;;;sonstige_bidirectional;Abziehbare Vorsteuer aus innergemeinschaftlichem Erwerb
1573;S;;;sonstige_bidirectional;Vorsteuer aus Erwerb als letzter Abnehmer innerhalb eines Dreiecksgeschäfts
1574;S;;;sonstige_bidirectional;Abziehbare Vorsteuer aus innergemeinschaftlichem Erwerb 19%
1575;R;;;sonstige_bidirectional;
1576;S;;;sonstige_bidirectional;Abziehbare Vorsteuer 19%
1577;S;;;sonstige_bidirectional;Abziehbare Vorsteuer nach §13b UStG 19%
1578;S;;;sonstige_bidirectional;Abziehbare Vorsteuer nach §13b UStG
1579;R;;;sonstige_bidirectional;
1580;S;;;sonstige_bidirectional;Gegenkonto Vorsteuer §4 Abs.3 EStG
1581;S;;;sonstige_bidirectional;Auflösung Vorsteuer aus Vorjahr §4 Abs.3 EStG
1582;S;;;sonstige_bidirectional;Vorsteuer aus Investitionen §4 Abs.3 EStG
1583;R;;;sonstige_bidirectional;
1584;S;;;sonstige_bidirectional;Abziehbare Vorsteuer aus innergemeinschaftlichem Erwerb von Neufahrzeugen von Lieferanten ohne USt-Id-Nr.
1585;S;;;sonstige_bidirectional;Abziehbare Vorsteuer aus der Auslagerung von Gegenständen aus einem Umsatzsteuerlager
1587;R;;;sonstige_bidirectional;
1588;F;;;sonstige_bidirectional;Entstandene Einfuhrumsatzsteuer
1589;R;;;sonstige_bidirectional;
1590;;;;sonstige_bidirectional;Durchlaufende Posten
1592;;;;sonstige_bidirectional;Fremdgeld
1593;F;;;vll_standard;Verrechnungskonto erhaltene Anzahlungen bei Buchung über Debitorenkonto
1594;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.forderungen_gegen_verbundene_unternehmen;receivable_affiliated;Forderungen gegen verbundene Unternehmen
1595;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.forderungen_gegen_verbundene_unternehmen;receivable_affiliated;- Restlaufzeit bis 1 Jahr
1596;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.forderungen_gegen_verbundene_unternehmen;receivable_affiliated;- Restlaufzeit größer 1 Jahr
1597;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.forderungen_gegen_unternehmen_mit_denen_ein_beteiligungsverh;receivable_beteiligung;Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht
1598;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.forderungen_gegen_unternehmen_mit_denen_ein_beteiligungsverh;receivable_beteiligung;- Restlaufzeit bis 1 Jahr
1599;;;b.aktiva.umlaufvermoegen.forderungen_und_sonstige_vermoegensgegenstaende.forderungen_gegen_unternehmen_mit_denen_ein_beteiligungsverh;receivable_beteiligung;- Restlaufzeit größer 1 Jahr
1600;S;;;vll_standard;Verbindlichkeiten aus Lieferungen und Leistungen
1601;R;1601-1603;;vll_standard;Verbindlichkeiten aus Lieferungen und Leistungen
1605;F;;;vll_standard;Verbindlichkeiten aus Lieferungen und Leistungen zum allgemeinen Umsatzsteuersatz (EÜR)
1606;F;;;vll_standard;Verbindlichkeiten aus Lieferungen und Leistungen zum ermäßigten Umsatzsteuersatz (EÜR)
1607;F;;;vll_standard;Verbindlichkeiten aus Lieferungen und Leistungen ohne Vorsteuerabzug (EÜR)
1609;F;;;vll_standard;Gegenkonto 1605-1607 bei Aufteilung der Verbindlichkeiten nach Steuersätzen (EÜR)
1610;F;1610-1623;;vll_standard;Verbindlichkeiten aus Lieferungen und Leistungen ohne Kontokorrent
1624;F;;;vll_standard;Verbindlichkeiten aus Lieferungen und Leistungen für Investitionen für § 4 Abs. 3 EStG
1625;F;;;vll_standard;Verbindlichkeiten aus Lieferungen und Leistungen ohne Kontokorrent - Restlaufzeit bis 1 Jahr
1626;F;;;vll_standard;- Restlaufzeit 1 bis 5 Jahre
1628;F;;;vll_standard;- Restlaufzeit größer 5 Jahre
1630;F;;b.passiva.verbindlichkeiten.verbindlichkeiten_gegenueber_verbundenen_unternehmen;payable_affiliated;Verbindlichkeiten aus Lieferungen und Leistungen gegenüber verbundenen Unternehmen
1631;F;;b.passiva.verbindlichkeiten.verbindlichkeiten_gegenueber_verbundenen_unternehmen;payable_affiliated;- Restlaufzeit bis 1 Jahr
1635;F;;b.passiva.verbindlichkeiten.verbindlichkeiten_gegenueber_verbundenen_unternehmen;payable_affiliated;- Restlaufzeit 1 bis 5 Jahre
1638;F;;b.passiva.verbindlichkeiten.verbindlichkeiten_gegenueber_verbundenen_unternehmen;payable_affiliated;- Restlaufzeit größer 5 Jahre
